ZIP,Number of returns,Population,P_Elderly,Income,Unemployment
76712,"12,810","25,630","3,910","1,176,519",210
76801,"10,210","19,860","2,600","562,732",460
76802,"2,360","4,750",670,"131,080",70
76821,"2,150","4,220",630,"114,553",30
76823,"1,280","2,560",400,"64,692",50
76825,"3,000","5,850",860,"148,552",160
76827,180,360,60,"10,719",0
76832,270,560,110,"18,498",0
76834,"2,210","4,200",790,"114,460",40
76837,590,"1,150",200,"28,578",0
76844,"1,520","2,970",520,"84,814",20
76849,"1,660","3,090",590,"89,764",0
76853,630,"1,310",210,"34,573",0
76854,140,270,60,"6,924",0
76856,"1,780","3,540",650,"112,893",20
76857,770,"1,490",310,"42,243",20
76859,850,"1,610",310,"41,927",0
76861,970,"2,050",240,"63,530",0
76864,310,600,150,"14,969",0
76866,250,490,100,"15,764",0
76870,110,190,30,"4,826",0
76871,330,630,120,"18,054",0
76872,290,530,130,"19,415",0
76875,300,580,90,"18,481",0
76877,"1,710","3,430",520,"81,042",40
76878,700,"1,410",210,"40,820",0
76882,140,260,50,"5,861",0
76890,390,780,140,"18,994",0
76901,"14,150","26,960","3,210","834,916",200
76903,"13,900","26,010","2,910","571,775",210
76904,"16,430","30,830","4,570","1,477,113",180
76905,"5,410","11,230","1,070","302,366",80
76932,"1,590","3,530",260,"136,723",0
76933,590,"1,140",180,"35,880",0
76934,460,950,130,"24,722",0
76935,860,"1,850",270,"88,555",0
76936,"1,110","2,260",310,"65,225",0
76937,110,220,30,"6,012",0
76941,670,"1,320",190,"62,377",0
76943,"1,570","3,300",420,"112,599",30
76945,780,"1,510",280,"42,721",0
76950,"1,720","3,540",470,"138,390",20
76951,580,"1,290",130,"55,523",0
76957,190,540,40,"29,456",0
77002,"6,370","8,640",660,"1,477,999",110
77003,"5,890","9,070",540,"455,991",150
77004,"13,450","20,670","2,250","1,179,894",330
77005,"11,470","23,860","3,770","5,139,627",110
77006,"13,280","18,520","2,190","1,928,854",200
77007,"24,480","36,090","2,800","4,415,131",450
77008,"19,540","32,560","3,220","3,112,727",370
77009,"17,680","31,490","2,920","1,557,134",380
77010,310,560,100,"188,965",0
77011,"7,260","14,150","1,090","256,623",190
77012,"7,380","15,260",950,"242,353",220
77013,"6,430","13,150","1,060","228,781",190
77014,"14,820","29,050","1,930","605,641",410
77015,"23,300","48,740","3,360","946,156",780
77016,"13,530","26,020","2,480","407,178",360
77017,"13,280","27,440","1,890","506,180",400
77018,"12,990","25,400","2,910","1,879,893",220
77019,"13,080","19,990","2,790","5,455,200",220
77020,"10,700","21,190","1,440","412,308",300
77021,"12,050","21,230","2,180","545,120",350
77022,"11,960","23,250","1,790","401,345",290
77023,"11,630","21,700","1,880","522,419",290
77024,"18,600","36,710","5,790","8,694,403",260
77025,"12,530","23,150","2,990","1,793,803",200
77026,"9,810","18,960","1,530","286,604",250
77027,"10,100","15,190","2,340","3,719,270",190
77028,"8,030","15,850","1,220","230,155",170
77029,"7,970","16,080","1,280","279,415",310
77030,"5,610","9,610","1,140","1,044,857",70
77031,"6,650","12,710","1,430","278,914",130
77032,"5,220","11,160",590,"190,956",130
77033,"12,840","24,990","2,070","373,200",410
77034,"16,050","32,780","1,960","628,186",580
77035,"15,100","29,410","3,020","817,127",330
77036,"25,070","49,590","3,760","814,486",380
77037,"7,710","16,970",970,"256,556",130
77038,"12,920","27,010","1,370","453,901",270
77039,"10,950","23,890","1,450","376,834",220
77040,"22,620","43,740","4,310","1,418,264",510
77041,"17,200","34,230","3,510","1,459,516",370
77042,"19,550","34,140","3,170","1,536,253",500
77043,"14,820","28,100","3,440","1,322,193",300
77044,"23,040","50,860","2,740","1,598,274",830
77045,"15,390","29,590","2,660","553,782",320
77046,"1,400","2,060",320,"404,092",20
77047,"14,990","28,000","2,040","663,719",470
77048,"9,350","17,990","1,430","341,206",300
77049,"16,860","35,350","1,910","800,201",700
77050,"1,970","4,260",330,"68,282",60
77051,"7,860","14,800","1,140","237,621",250
77053,"14,170","28,010","2,260","473,787",310
77054,"10,930","15,380",980,"538,638",210
77055,"17,970","36,460","3,670","2,569,306",320
77056,"12,890","21,030","3,660","4,663,912",200
77057,"19,740","33,120","4,400","2,843,851",390
77058,"8,940","14,410","2,080","705,702",210
77059,"8,730","18,300","2,670","1,459,252",150
77060,"15,240","31,960","1,450","439,053",330
77061,"9,390","18,470","1,530","369,248",260
77062,"12,190","23,660","3,600","1,086,287",280
77063,"17,550","29,860","3,020","1,225,383",360
77064,"22,990","44,220","4,000","1,317,633",550
77065,"17,540","32,430","3,530","979,607",470
77066,"16,460","32,020","2,920","780,047",400
77067,"13,100","26,400","1,580","436,141",330
77068,"5,770","10,980","1,370","386,932",150
77069,"9,530","17,230","2,950","911,713",250
77070,"24,950","46,930","5,080","1,735,482",690
77071,"12,560","23,590","2,980","611,693",280
77072,"24,580","48,050","3,790","770,532",430
77073,"20,380","42,220","2,050","825,583",530
77074,"14,670","29,690","2,470","536,282",220
77075,"17,460","35,640","2,180","715,193",650
77076,"12,640","26,960","1,590","422,053",230
77077,"29,580","52,990","6,420","3,000,947",720
77078,"6,350","12,980",960,"188,732",180
77079,"16,710","34,530","3,850","2,795,889",320
77080,"18,450","36,070","3,320","1,023,635",360
77081,"16,570","33,530","1,580","626,492",200
77082,"26,040","47,330","4,590","1,681,457",640
77083,"34,670","67,640","6,290","1,363,609",710
77084,"50,910","99,740","7,760","2,581,001","1,220"
77085,"8,410","16,650","1,280","305,039",180
77086,"12,340","25,190","1,680","429,681",240
77087,"15,060","30,460","2,330","541,371",430
77088,"24,430","48,160","4,140","897,970",640
77089,"26,160","51,710","4,420","1,448,887",860
77090,"17,730","32,900","1,900","641,029",550
77091,"11,630","22,230","1,840","427,215",270
77092,"14,740","27,250","2,730","770,791",280
77093,"18,520","40,690","2,110","568,989",410
77094,"5,190","11,220","1,400","891,083",110
77095,"33,340","66,440","6,770","2,588,363",890
77096,"15,040","29,560","3,750","1,469,216",310
77098,"8,730","13,000","1,840","2,102,955",120
77099,"20,600","40,550","3,170","675,694",400
77301,"13,930","28,720","2,090","609,141",290
77302,"8,460","17,770","1,860","593,622",190
77303,"8,870","18,570","1,610","496,818",200
77304,"17,430","33,310","4,290","1,466,013",340
77306,"5,950","13,290",800,"242,534",130
77316,"13,370","29,760","3,510","1,714,703",290
77318,"8,130","16,060","2,540","689,711",180
77320,"10,650","20,290","2,510","536,736",160
77327,"11,890","28,020","1,630","572,946",290
77328,"7,380","15,950","1,500","405,129",180
77331,"3,130","6,050","1,090","223,032",110
77335,930,"1,880",220,"42,123",20
77336,"6,380","13,700","1,440","547,657",200
77338,"20,240","39,350","2,610","859,692",540
77339,"19,800","38,770","5,090","1,740,025",430
77340,"11,010","19,100","2,800","600,140",130
77345,"12,080","27,390","3,520","1,805,771",250
77346,"32,150","67,860","5,850","2,814,604",830
77351,"12,520","25,130","3,580","703,000",340
77354,"18,380","39,030","3,870","1,817,622",400
77355,"13,250","28,110","3,160","1,289,738",280
77356,"15,700","30,670","5,790","1,909,972",320
77357,"12,450","27,350","2,080","694,732",290
77358,"2,410","4,860",660,"165,202",40
77359,360,670,120,"18,458",0
77360,"2,400","4,720",890,"121,229",80
77362,"3,170","6,930",700,"288,128",80
77363,"1,810","3,650",420,"105,298",40
77364,"1,110","2,020",500,"60,324",50
77365,"18,140","39,000","3,280","1,273,884",380
77371,"3,080","6,820",600,"153,821",110
77372,"5,640","12,270",990,"302,369",170
77373,"30,020","58,240","4,900","1,548,390",810
77375,"27,460","58,510","4,760","2,339,153",690
77377,"17,630","39,120","3,960","1,934,280",430
77378,"8,140","17,170","1,550","441,101",160
77379,"38,370","80,810","9,320","3,988,661",880
77380,"13,320","23,880","3,060","2,127,612",300
77381,"15,800","33,350","5,260","2,977,614",300
77382,"16,070","36,650","3,930","3,506,239",270
77384,"11,440","22,680","2,990","1,214,579",220
77385,"12,470","26,250","2,190","965,027",310
77386,"28,040","63,050","4,240","3,018,761",640
77388,"24,270","48,250","4,990","1,734,774",610
77389,"16,760","37,910","3,420","2,507,498",340
77396,"25,400","53,180","2,950","1,588,793",750
77401,"7,760","17,430","2,470","2,883,940",90
77406,"25,570","55,760","5,550","2,983,354",640
77407,"31,360","71,040","4,190","2,388,212",760
77414,"9,420","19,150","2,200","543,292",440
77417,970,"2,050",190,"47,938",30
77418,"4,690","9,060","1,570","356,847",70
77420,"1,160","2,370",270,"67,587",30
77422,"5,820","11,630","1,610","403,179",290
77423,"7,080","15,620","1,110","481,678",160
77426,"1,130","2,030",410,"106,549",0
77429,"41,430","89,890","7,960","4,359,421","1,040"
77430,"1,080","2,270",310,"86,559",30
77433,"45,260","103,710","6,670","4,671,149","1,130"
77434,"2,140","4,210",450,"95,028",30
77435,"2,480","5,140",630,"176,323",60
77437,"8,270","16,730","1,950","490,920",140
77441,"9,390","24,000","2,200","1,696,110",160
77442,420,900,140,"25,150",0
77444,380,780,70,"21,430",0
77445,"6,070","12,120","1,410","372,422",100
77447,"9,370","19,800","1,580","705,247",200
77449,"59,000","119,990","7,140","2,720,382","1,480"
77450,"32,350","68,130","7,250","3,303,533",720
77455,890,"1,840",230,"54,371",0
77459,"36,560","77,750","8,910","3,928,176",900
77461,"5,390","11,240","1,200","365,168",100
77465,"3,180","6,600",850,"188,758",130
77469,"26,360","54,100","5,400","1,869,590",580
77471,"19,400","39,050","3,390","973,200",440
77474,"6,750","13,490","1,590","414,045",170
77477,"16,340","30,590","3,040","823,162",330
77478,"12,350","23,600","4,450","1,614,968",230
77479,"39,480","90,420","10,140","6,359,747",750
77480,"3,260","6,960",850,"225,223",110
77482,"1,130","2,390",250,"70,149",60
77484,"6,180","12,800","1,420","415,027",120
77485,"1,580","3,090",380,"89,878",30
77486,"3,510","7,250",970,"243,196",100
77488,"6,260","12,060","1,570","312,301",160
77489,"19,510","35,060","4,500","832,316",570
77493,"23,480","50,870","3,500","1,893,110",600
77494,"50,510","125,330","7,960","6,687,854","1,100"
77498,"23,800","48,320","5,160","1,637,932",530
77502,"16,030","34,070","2,220","643,477",650
77503,"10,750","21,820","1,550","472,436",490
77504,"10,190","20,500","1,850","493,694",330
77505,"11,290","21,860","2,550","856,561",400
77506,"13,680","30,010","1,620","467,009",600
77510,"6,910","13,370","1,860","496,273",210
77511,"22,050","45,130","4,470","1,301,772",690
77514,"2,380","5,030",620,"162,276",60
77515,"13,220","27,110","2,830","857,176",520
77517,"2,910","5,780",790,"232,028",90
77518,"4,700","9,240",850,"225,852",150
77519,440,990,120,"25,525",20
77520,"16,480","33,890","2,590","774,453","1,100"
77521,"28,020","58,030","4,290","1,680,278","1,710"
77523,"11,740","26,430","1,920","1,170,344",490
77530,"14,270","31,050","1,910","623,157",610
77531,"7,180","14,400","1,280","391,373",400
77532,"14,970","31,400","3,120","1,041,910",580
77534,"1,410","3,090",350,"112,569",40
77535,"14,000","30,480","2,800","906,979",620
77536,"15,980","31,850","3,800","1,173,748",560
77538,380,800,100,"29,553",0
77539,"20,950","41,450","4,020","1,304,428",610
77541,"6,940","13,980","1,340","359,892",400
77545,"12,710","25,140","1,540","604,805",390
77546,"24,600","51,770","6,320","3,049,330",560
77547,"4,330","9,350",620,"166,246",180
77550,"10,870","17,640","2,590","610,436",270
77551,"9,690","16,850","2,440","536,436",190
77554,"4,270","7,150","1,740","591,292",70
77560,470,940,110,"28,166",0
77562,"5,190","10,470","1,210","303,507",300
77563,"4,700","8,600","1,250","292,136",160
77564,750,"1,650",190,"47,653",30
77565,"3,750","6,580","1,190","442,709",110
77566,"14,420","28,690","3,740","1,259,414",520
77568,"10,050","19,080","2,030","512,692",340
77571,"17,530","34,240","3,770","1,170,415",740
77573,"42,100","88,570","9,060","4,177,161",950
77575,"6,180","13,160","1,380","404,239",220
77577,660,"1,390",180,"42,155",0
77578,"11,440","24,510","1,970","1,100,113",350
77581,"22,300","46,190","5,260","1,957,497",520
77583,"16,600","35,390","2,060","1,081,751",590
77584,"40,730","87,780","7,310","3,775,454","1,040"
77585,350,820,80,"21,895",0
77586,"11,530","21,710","2,980","1,264,789",320
77587,"7,010","14,620",990,"256,224",270
77590,"13,450","25,700","2,940","647,978",480
77591,"7,460","13,680","1,490","337,729",270
77597,420,830,120,"31,225",0
77598,"11,910","19,870","1,720","570,453",330
77611,"4,470","9,230","1,090","332,066",170
77612,"3,830","8,180",930,"247,199",180
77616,490,"1,060",110,"27,254",30
77619,"7,580","15,340","1,810","453,441",460
77622,750,"1,540",190,"54,228",20
77624,350,720,110,"18,186",0
77625,"3,930","8,130","1,030","256,262",140
77627,"10,950","21,300","2,900","819,012",460
77630,"11,780","23,810","2,610","713,110",440
77632,"9,270","19,090","2,370","674,505",330
77640,"6,930","13,400","1,430","289,943",390
77642,"15,380","32,870","2,420","647,671","1,260"
77651,"6,350","12,710","1,810","525,455",230
77655,160,300,40,"9,464",0
77656,"7,370","15,160","1,880","425,774",310
77657,"9,840","20,730","2,360","818,424",270
77659,"2,210","4,750",590,"176,200",50
77660,640,"1,430",180,"35,495",40
77662,"10,210","21,070","2,140","569,270",410
77664,"1,240","2,640",370,"72,616",80
77665,"3,220","6,700",660,"225,100",100
77701,"5,180","10,110",850,"182,867",200
77702,"1,270","2,360",250,"86,083",40
77703,"5,410","10,720",860,"156,126",190
77705,"11,100","21,950","2,300","561,087",410
77706,"13,750","25,500","3,950","1,428,086",310
77707,"7,890","14,990","1,900","517,646",260
77708,"5,650","10,450","1,130","245,806",190
77713,"6,440","12,440","1,410","506,904",220
77801,"5,420","9,560",500,"185,409",90
77802,"11,950","20,760","3,150","815,514",170
77803,"12,700","26,470","1,760","434,769",200
77807,"5,510","10,500","1,040","375,501",80
77808,"7,010","14,340","1,900","586,276",100
77830,"1,410","2,750",430,"103,668",0
77831,"1,400","2,840",390,"71,143",30
77833,"12,590","24,070","3,910","808,714",140
77835,"1,280","2,420",480,"102,264",0
77836,"5,420","10,620","1,600","355,038",80
77837,670,"1,310",170,"28,832",0
77840,"13,980","19,620","1,220","529,809",170
77845,"28,440","57,600","6,160","2,865,701",280
77853,520,980,160,"31,349",0
77856,"2,200","4,480",640,"140,077",30
77857,410,840,130,"30,651",0
77859,"3,230","6,440",760,"145,896",80
77861,"1,340","2,750",440,"104,527",20
77864,"3,460","6,960",780,"186,205",50
77865,720,"1,490",230,"49,216",0
77868,"6,380","12,550","1,510","360,301",160
77871,"1,690","3,470",700,"132,735",40
77872,910,"1,920",260,"54,054",20
77873,650,"1,260",190,"43,248",0
77879,"2,280","4,230",740,"115,548",50
77880,850,"1,630",300,"56,615",0
77901,"17,780","33,810","3,400","757,219",390
77904,"13,250","26,140","3,770","1,108,329",230
77905,"6,840","13,740","1,920","482,458",140
77954,"4,520","8,980","1,220","327,260",60
77957,"3,860","7,740","1,040","217,403",70
77962,"1,610","3,480",400,"109,970",30
77963,"2,460","4,930",760,"160,355",40
77964,"3,770","7,380","1,270","266,425",40
77968,"1,510","3,310",400,"137,984",30
77971,400,820,90,"24,718",0
77974,210,450,70,"19,425",0
77975,870,"1,720",320,"58,163",0
77979,"7,800","15,450","1,750","467,463",210
77983,920,"1,820",280,"51,175",0
77984,"2,100","4,220",700,"188,738",0
77990,290,590,90,"19,219",0
77994,160,320,60,"24,721",0
77995,"4,260","8,610","1,190","267,229",50
78002,"3,670","7,660",630,"146,394",50
78003,"4,810","8,790","1,900","301,289",70
78004,270,510,110,"29,444",0
78005,370,740,130,"23,848",0
78006,"19,550","39,800","6,540","2,813,379",240
78008,120,220,40,"14,130",0
78009,"4,360","9,070","1,150","337,657",70
78010,"1,510","2,980",500,"89,825",0
78011,840,"1,810",170,"48,212",0
78012,180,430,40,"8,896",0
78013,"2,820","5,430","1,000","241,448",30
78014,"2,050","4,050",380,"154,509",50
78015,"9,190","20,690","2,540","1,423,513",140
78016,"4,600","9,600","1,090","261,368",100
78017,"1,700","3,540",290,"91,751",40
78022,"2,180","4,490",580,"142,734",40
78023,"14,480","30,400","3,360","1,532,302",200
78024,700,"1,290",370,"80,762",0
78025,"2,450","4,610",910,"140,809",30
78026,"2,760","5,650",610,"185,340",50
78027,250,460,110,"33,893",0
78028,"18,700","33,910","7,500","1,302,281",210
78039,890,"1,660",210,"47,260",0
78040,"17,550","37,510","2,520","463,214",380
78041,"22,830","46,270","4,260","1,168,039",420
78043,"18,650","39,680","3,040","666,143",380
78045,"30,900","67,280","4,350","1,900,414",560
78046,"29,890","68,510","2,740","922,563",770
78052,"3,720","7,760",800,"187,993",80
78055,810,"1,550",380,"61,240",0
78056,"1,090","2,320",340,"111,908",0
78057,520,"1,050",140,"28,667",0
78058,640,"1,250",260,"43,572",0
78059,"2,500","5,180",560,"127,062",40
78061,"4,190","8,360",740,"186,350",120
78063,"4,560","8,730","1,670","308,961",60
78064,"6,860","13,980","1,540","432,203",120
78065,"5,000","10,510",870,"219,967",110
78066,340,700,130,"28,695",0
78067,300,610,70,"12,002",0
78069,"2,610","5,560",440,"106,965",60
78070,"9,690","19,640","3,270","997,594",150
78071,"1,490","3,060",400,"97,900",20
78072,320,650,100,"34,761",0
78073,"3,940","8,210",650,"164,372",80
78076,"4,850","11,050",810,"172,373",210
78101,"4,380","8,760","1,190","326,785",90
78102,"8,370","16,500","1,710","398,416",180
78108,"20,030","43,890","3,330","1,400,037",380
78109,"24,780","49,540","3,750","1,195,079",480
78112,"4,200","8,750",700,"169,378",80
78113,"1,130","2,270",350,"128,098",0
78114,"10,050","20,590","2,510","646,303",170
78116,150,270,60,"46,221",0
78117,310,540,110,"60,692",0
78118,"2,010","3,910",490,"217,610",40
78119,"2,320","4,430",590,"173,594",40
78121,"7,080","15,230","1,720","612,608",100
78122,190,370,60,"10,043",0
78123,"1,250","2,190",420,"94,208",0
78124,"3,410","6,780",880,"225,994",40
78130,"42,030","80,020","9,000","2,707,144",700
78132,"17,720","37,060","5,330","2,165,455",290
78133,"10,460","19,210","4,020","813,002",210
78140,"1,520","3,150",300,"80,307",0
78141,310,590,110,"33,016",0
78148,"10,620","19,730","2,530","601,426",150
78151,610,"1,240",160,"44,551",0
78152,"1,820","3,580",460,"126,259",30
78154,"19,960","39,450","4,330","1,385,272",350
78155,"23,290","44,930","5,760","1,346,171",310
78159,380,800,80,"30,024",0
78160,"1,960","4,080",540,"135,770",40
78161,410,810,110,"23,899",0
78163,"6,920","14,560","2,170","715,662",110
78164,"1,750","3,350",600,"228,484",20
78201,"19,490","34,640","3,880","719,065",350
78202,"5,060","9,470",720,"180,976",50
78203,"2,520","4,790",340,"75,009",40
78204,"5,500","9,390","1,010","346,403",110
78205,"1,020","1,350",230,"170,001",0
78207,"19,060","37,690","2,910","512,023",320
78208,"1,750","3,200",260,"66,552",40
78209,"19,830","35,660","6,070","3,714,640",260
78210,"15,800","28,290","2,860","696,480",270
78211,"13,480","26,650","2,130","394,032",240
78212,"12,630","20,620","2,960","1,501,030",190
78213,"20,010","35,780","4,060","965,707",340
78214,"10,120","19,390","1,750","316,356",170
78215,"2,040","2,590",180,"238,500",20
78216,"19,770","33,110","4,190","1,746,529",320
78217,"16,720","28,570","3,640","820,393",280
78218,"17,010","31,460","3,210","754,690",280
78219,"7,060","13,600","1,390","249,078",110
78220,"8,390","15,880","1,680","262,183",140
78221,"17,620","34,200","2,770","630,792",270
78222,"11,190","22,180","1,890","469,731",220
78223,"25,210","48,140","4,280","972,322",450
78224,"9,620","19,260","1,400","337,713",190
78225,"5,750","10,810","1,150","184,805",100
78226,"3,030","5,860",530,"89,380",60
78227,"20,860","40,800","3,550","679,216",360
78228,"26,230","49,240","5,180","914,584",460
78229,"15,110","24,530","2,090","704,870",240
78230,"21,800","37,150","5,620","1,952,094",360
78231,"4,550","8,340","1,570","892,981",40
78232,"18,490","32,720","5,430","1,809,507",260
78233,"24,070","43,980","4,880","1,092,204",460
78234,"1,920","4,100",60,"97,387",0
78235,920,"1,470",60,"38,550",20
78236,"1,060","2,440",0,"47,220",0
78237,"16,060","31,740","2,350","446,321",250
78238,"12,030","21,600","2,270","485,520",220
78239,"14,730","27,790","3,910","742,165",260
78240,"27,490","47,110","5,120","1,493,674",510
78242,"14,370","29,120","1,920","444,778",270
78244,"16,670","33,060","2,490","699,155",320
78245,"43,320","87,490","5,440","2,133,880",920
78247,"25,330","46,780","5,580","1,500,631",470
78248,"6,990","13,430","2,420","1,134,138",100
78249,"26,870","45,170","4,670","1,757,622",440
78250,"27,170","50,300","5,430","1,382,570",510
78251,"28,520","52,670","4,020","1,450,220",550
78252,"7,120","15,200",560,"326,199",160
78253,"30,440","65,730","5,300","2,154,029",530
78254,"33,630","70,790","4,580","2,149,970",650
78255,"7,790","17,220","1,810","1,127,428",130
78256,"6,220","10,440",900,"668,370",80
78257,"5,740","9,820","1,020","1,046,180",70
78258,"22,780","47,130","4,820","2,832,730",350
78259,"14,010","29,050","3,030","1,292,566",220
78260,"16,250","36,710","3,510","1,927,121",280
78261,"12,130","26,580","2,090","1,405,803",220
78263,"2,370","4,500",720,"158,035",40
78264,"6,120","12,850",950,"237,680",120
78266,"3,740","7,780","1,270","492,124",50
78330,440,910,120,"25,516",0
78332,"11,040","22,580","2,130","493,906",330
78336,"5,010","9,770","1,260","267,817",250
78340,180,290,80,"9,256",0
78343,"1,970","3,950",440,"103,589",70
78344,170,390,30,"9,697",0
78349,170,330,50,"6,183",0
78353,150,270,40,"6,066",0
78355,"2,810","5,830",640,"101,088",80
78357,"1,470","3,120",290,"78,613",30
78361,"2,120","4,470",450,"88,992",60
78362,"5,050","10,270",890,"276,764",220
78363,"11,830","23,080","2,210","565,513",290
78368,"4,000","8,020",980,"203,876",170
78369,160,340,40,"10,861",0
78370,"2,270","4,670",510,"138,408",90
78372,"2,570","5,520",550,"153,404",100
78373,"1,880","3,160",730,"173,281",30
78374,"8,910","18,160","1,730","658,822",320
78375,"1,260","2,660",280,"52,228",40
78376,110,240,30,"3,655",0
78377,"1,620","3,180",420,"87,762",40
78379,800,"1,560",270,"70,778",20
78380,"9,730","19,680","1,920","491,365",330
78382,"7,790","14,590","2,920","553,091",140
78383,"1,700","3,460",510,"133,021",60
78384,"2,370","4,920",440,"90,503",100
78387,"4,450","8,970",940,"226,172",160
78389,790,"1,640",190,"39,582",30
78390,"2,530","5,060",550,"131,460",120
78391,140,280,30,"5,601",0
78393,"1,100","2,110",300,"59,642",20
78401,"1,470","2,270",390,"160,314",30
78402,250,420,90,"18,969",0
78404,"6,680","12,060","1,530","423,719",170
78405,"5,640","11,160",940,"157,781",170
78406,460,920,70,"16,510",0
78407,650,"1,250",110,"21,399",20
78408,"4,500","8,780",750,"136,302",160
78409,"1,160","2,330",230,"49,673",70
78410,"12,720","25,870","2,540","801,315",430
78411,"12,500","22,560","3,090","721,983",290
78412,"16,540","28,420","3,530","885,654",360
78413,"17,890","32,930","4,150","1,188,820",440
78414,"21,110","42,760","3,760","1,698,276",470
78415,"17,980","34,710","3,330","710,454",500
78416,"6,440","12,430","1,190","196,553",220
78417,"2,120","4,140",300,"72,901",70
78418,"14,430","27,680","3,680","1,075,826",330
78501,"24,850","49,240","4,560","1,070,184",850
78503,"9,440","19,870","1,370","457,664",460
78504,"24,310","50,730","4,230","1,660,843",720
78516,"13,430","29,780","2,110","451,483",830
78520,"27,640","59,670","4,310","1,071,811","1,310"
78521,"38,560","82,810","5,530","1,315,994","2,120"
78526,"23,160","50,920","3,070","1,065,110","1,050"
78536,110,210,20,"3,834",0
78537,"18,800","43,460","2,280","570,994","1,150"
78538,"4,740","10,650",570,"150,155",300
78539,"15,640","31,560","2,480","915,009",430
78541,"17,270","36,900","1,690","687,725",880
78542,"28,930","67,280","2,620","1,069,283","1,960"
78550,"21,690","43,980","4,120","930,505",610
78552,"15,470","32,610","3,120","837,470",390
78557,"7,150","16,020",870,"249,975",450
78559,"5,260","10,900","1,030","204,240",210
78560,"2,110","4,530",240,"81,071",150
78563,230,490,60,"12,818",0
78564,110,240,30,"2,930",0
78566,"9,280","20,280","1,270","373,641",390
78569,"1,740","3,590",350,"71,020",90
78570,"13,250","29,550","1,820","412,396",860
78572,"31,050","66,740","5,480","1,432,078","1,750"
78573,"16,760","37,600","1,940","724,248",980
78574,"23,390","54,780","2,210","878,663","1,640"
78575,"2,340","4,900",550,"182,217",50
78576,"4,810","11,910",360,"164,916",480
78577,"31,070","67,960","3,960","1,102,614","1,840"
78578,"4,590","8,940","1,500","234,485",90
78580,"4,590","9,720",810,"167,554",240
78582,"16,620","37,530","1,850","636,931","2,020"
78583,"2,640","5,520",540,"114,372",90
78584,"7,930","18,100","1,030","254,991",920
78586,"20,640","45,010","3,070","705,178",910
78588,140,280,40,"5,911",0
78589,"17,880","39,730","2,100","643,960","1,240"
78591,130,240,50,"5,734",0
78593,"2,270","4,850",370,"76,275",100
78595,"2,410","5,630",220,"77,934",320
78596,"15,510","33,090","2,730","673,446",900
78597,"1,300","2,170",600,"132,139",20
78598,160,280,70,"8,763",0
78602,"14,820","29,040","3,800","946,840",330
78605,"2,830","5,770",730,"211,068",30
78606,"3,030","5,810","1,200","305,656",40
78607,120,180,60,"7,458",0
78608,290,560,80,"19,028",0
78609,940,"1,620",470,"61,340",0
78610,"20,910","42,980","3,790","1,571,095",380
78611,"6,950","13,490","2,480","512,689",100
78612,"7,080","14,780","1,430","386,354",150
78613,"39,690","81,880","6,910","3,912,718",890
78614,260,500,80,"14,907",0
78615,780,"1,590",190,"48,104",0
78616,"4,330","9,900",710,"191,734",70
78617,"10,980","23,610","1,240","446,569",150
78618,130,270,60,"12,878",0
78619,"2,620","5,700",850,"449,606",30
78620,"10,000","21,010","2,960","1,417,708",200
78621,"12,070","24,580","2,430","667,042",200
78623,950,"1,800",430,"75,409",0
78624,"11,900","21,890","4,850","1,117,059",90
78626,"18,330","35,950","3,220","1,219,023",310
78628,"19,440","39,850","5,790","2,283,024",300
78629,"5,670","11,330","1,350","345,301",60
78631,"1,420","2,740",490,"85,537",20
78632,440,880,140,"27,290",0
78633,"15,180","27,560","10,290","1,822,617",130
78634,"18,390","37,730","2,410","1,193,754",390
78636,"2,020","3,790",730,"166,802",30
78638,"1,090","2,120",300,"72,073",0
78639,"3,720","7,010","1,480","263,281",40
78640,"30,480","60,750","4,250","1,609,680",620
78641,"37,990","81,840","6,550","3,931,576",820
78642,"9,500","21,250","1,970","913,322",170
78643,"3,170","5,830","1,310","209,350",40
78644,"8,970","17,770","2,040","460,378",190
78645,"7,310","13,710","2,480","746,660",170
78648,"3,530","6,960",830,"188,292",60
78650,770,"1,540",230,"49,386",0
78652,"3,040","5,670",870,"250,053",50
78653,"14,660","29,810","1,820","808,293",300
78654,"9,490","18,110","3,190","719,592",130
78655,"1,410","2,680",370,"82,039",20
78656,"1,180","2,260",200,"49,090",20
78657,"3,440","6,160","1,790","518,056",30
78659,"1,680","3,440",450,"103,083",40
78660,"52,290","102,560","7,110","3,580,328","1,220"
78662,"1,220","2,410",380,"76,474",30
78663,410,730,170,"46,600",0
78664,"29,160","54,700","4,270","1,843,502",650
78665,"28,010","58,140","4,330","2,377,350",630
78666,"33,570","53,690","5,380","1,615,516",510
78669,"5,930","11,820","2,050","941,105",120
78671,380,690,140,"28,079",0
78672,410,720,200,"20,332",0
78676,"7,430","14,050","3,260","784,304",100
78681,"25,570","54,590","4,860","2,627,657",560
78701,"6,330","8,210",980,"2,110,607",100
78702,"14,460","20,740","1,110","1,239,530",260
78703,"11,230","18,580","2,540","4,621,658",130
78704,"27,540","38,520","3,470","3,291,388",560
78705,"6,820","6,840",510,"413,560",80
78717,"16,330","35,220","2,150","1,950,519",430
78719,900,"1,850",150,"32,266",0
78721,"5,940","9,590",690,"325,600",110
78722,"3,660","5,240",450,"307,158",80
78723,"16,530","27,590","2,490","1,253,716",290
78724,"11,640","24,300","1,080","480,204",170
