ZIP,Number of returns,Population,P_Elderly,Income,Unemployment
75236,"7,970","15,830",870,"316,903",200
75237,"7,830","14,840",750,"222,104",250
75238,"13,550","27,810","3,020","1,398,377",260
75240,"10,510","19,730","1,610","900,961",160
75241,"14,450","27,450","2,290","435,808",490
75243,"27,650","50,550","4,380","1,460,559",640
75244,"6,860","11,910","1,670","905,796",140
75246,"1,120","1,720",130,"53,876",20
75247,610,970,120,"53,766",0
75248,"18,750","34,290","5,560","2,870,916",470
75249,"7,520","14,540","1,160","348,802",230
75251,"2,220","3,090",290,"190,993",60
75252,"13,540","22,910","3,850","1,577,688",280
75253,"9,090","21,270",750,"316,433",150
75254,"12,130","20,150","1,630","1,174,932",290
75287,"27,630","44,210","3,660","1,951,742",790
75401,"8,110","16,570","1,370","315,771",190
75402,"8,550","16,610","2,340","603,230",140
75407,"11,790","25,170","1,660","649,532",300
75409,"9,520","20,530","1,390","618,853",210
75410,"2,110","4,320",780,"115,473",40
75411,430,900,130,"24,373",20
75412,270,520,90,"15,117",0
75414,"1,540","3,360",390,"105,143",30
75416,"1,290","2,620",320,"64,154",50
75417,"1,010","2,090",280,"52,443",20
75418,"5,100","9,970","1,430","279,272",130
75420,610,"1,190",170,"31,724",0
75421,480,980,120,"23,561",0
75422,"1,310","2,670",400,"82,592",20
75423,"1,320","2,730",320,"78,286",30
75424,"1,930","4,160",440,"138,762",40
75426,"2,130","3,910",600,"88,310",70
75428,"3,590","6,720",670,"154,076",90
75431,890,"1,930",220,"37,077",20
75432,"1,380","2,900",390,"71,472",30
75433,"1,240","2,500",370,"67,428",0
75435,390,770,90,"16,408",0
75436,860,"1,770",200,"42,882",30
75437,530,"1,090",140,"31,541",0
75438,480,970,130,"29,558",0
75439,430,870,90,"22,589",0
75440,"2,970","5,910","1,080","181,632",60
75442,"4,950","10,430","1,150","324,760",100
75446,"1,380","2,930",380,"75,281",40
75447,520,"1,030",150,"30,062",0
75448,290,580,90,"14,095",0
75449,420,840,120,"17,655",0
75450,110,220,30,"5,467",0
75451,550,"1,110",180,"28,637",0
75452,"2,140","4,510",500,"133,501",40
75453,"1,600","3,390",410,"98,620",40
75454,"6,760","15,730","1,030","631,461",170
75455,"11,730","25,180","2,200","574,279",260
75457,"2,840","5,720",770,"165,934",70
75459,"2,400","4,980",500,"144,021",40
75460,"9,560","18,210","1,950","371,322",290
75462,"5,240","10,730","1,470","381,710",140
75468,390,820,130,"21,148",0
75469,170,350,60,"7,961",0
75470,110,240,30,"4,775",0
75471,580,"1,250",140,"27,514",0
75472,"1,610","3,220",480,"80,337",30
75473,"1,690","3,420",530,"113,767",50
75474,"6,870","13,700","1,710","358,739",120
75476,560,"1,130",190,"32,743",0
75477,370,730,120,"16,913",0
75478,400,830,120,"20,131",0
75479,840,"1,660",210,"45,576",0
75480,690,"1,370",280,"56,662",0
75481,150,320,40,"8,373",0
75482,"10,960","22,190","2,620","627,954",210
75486,"1,050","2,300",290,"62,290",30
75487,610,"1,280",150,"27,134",0
75488,480,"1,000",130,"28,335",0
75490,"1,330","2,810",320,"86,585",30
75491,"2,430","5,020",580,"156,162",40
75492,240,450,80,"14,249",0
75494,"4,690","9,410","1,500","256,629",90
75495,"4,340","9,350","1,070","409,578",80
75496,"1,430","2,950",380,"76,727",30
75497,"1,750","3,350",820,"123,930",30
75501,"14,980","29,390","3,200","627,503",370
75503,"11,690","22,790","3,300","984,579",230
75550,290,530,100,"11,343",0
75551,"4,560","9,230","1,400","245,897",110
75554,700,"1,410",230,"36,680",0
75555,620,"1,320",170,"32,318",0
75556,550,"1,140",130,"30,403",30
75558,660,"1,370",180,"36,168",0
75559,"2,460","4,920",780,"124,707",50
75560,430,870,120,"18,545",0
75561,"2,310","4,600",630,"108,127",40
75563,"1,720","3,370",580,"84,689",40
75566,300,590,100,"12,737",0
75567,"1,660","3,510",390,"86,678",40
75568,"1,190","2,460",360,"55,174",30
75569,"1,730","3,330",340,"80,864",50
75570,"3,990","7,790","1,140","193,193",90
75571,"1,260","2,470",370,"58,048",30
75572,"1,560","3,090",440,"73,524",40
75574,800,"1,640",190,"42,456",20
75601,"6,610","12,980","1,550","389,733",170
75602,"8,770","18,170","1,380","361,708",210
75603,"2,680","5,260",800,"167,388",100
75604,"13,450","26,960","2,830","745,201",330
75605,"14,620","28,100","4,230","1,167,583",310
75630,"1,060","2,030",410,"58,130",30
75631,"1,080","2,400",290,"68,841",40
75633,"6,150","12,480","1,680","373,459",130
75638,"2,380","4,670",700,"113,730",60
75639,"1,100","2,210",340,"62,948",30
75640,"2,320","4,990",520,"141,661",60
75643,830,"1,760",230,"47,913",0
75644,"5,010","10,250","1,380","271,198",120
75645,"4,300","9,130","1,070","247,091",100
75647,"5,830","11,930","1,390","316,688",140
75650,"4,430","9,650",970,"293,066",110
75651,"1,050","2,210",220,"58,796",30
75652,"5,180","10,460","1,400","304,519",130
75654,"5,220","11,010","1,280","284,670",120
75656,"1,990","4,030",480,"99,420",40
75657,"3,400","6,570","1,070","164,142",70
75661,"1,080","1,960",350,"56,686",20
75662,"10,390","21,540","2,310","533,093",250
75667,510,"1,030",140,"25,672",0
75668,810,"1,560",220,"35,704",20
75669,270,550,100,"16,479",0
75670,"6,640","13,100","1,240","246,867",190
75672,"7,290","14,480","2,040","430,897",160
75681,"1,210","2,390",320,"59,862",30
75683,"1,580","3,310",370,"72,856",40
75684,"2,480","5,350",500,"122,427",80
75686,"5,650","11,680","1,490","295,663",130
75691,"1,930","4,150",430,"105,781",80
75692,"2,220","4,390",590,"118,619",50
75693,"2,910","6,160",690,"201,113",70
75701,"15,100","27,850","3,600","881,121",350
75702,"10,980","22,030","1,610","327,824",320
75703,"20,640","38,530","5,900","1,972,508",350
75704,"4,380","8,860",970,"185,575",110
75705,"1,020","2,010",220,"42,211",40
75706,"4,240","8,970",710,"176,426",110
75707,"7,310","14,310","2,280","534,158",170
75708,"3,260","6,890",510,"118,393",70
75709,"2,860","5,310",730,"220,560",60
75750,"1,730","3,580",480,"105,710",50
75751,"7,640","14,910","1,950","408,843",120
75752,"3,100","6,220",960,"197,190",60
75754,"2,730","5,490",780,"168,395",70
75755,"2,280","4,750",620,"116,457",60
75756,"1,810","3,830",470,"104,771",50
75757,"5,950","12,780","1,750","540,729",120
75758,"4,590","9,030","1,470","265,385",100
75760,"1,030","2,130",320,"49,905",30
75762,"6,470","13,120","1,770","500,823",130
75763,"2,640","5,200",860,"155,029",60
75765,"3,390","6,490","1,600","197,790",90
75766,"11,480","24,000","2,600","548,199",280
75770,"1,340","2,570",440,"85,721",20
75771,"9,900","20,570","3,120","686,511",180
75773,"5,640","11,270","1,870","318,183",110
75778,"1,430","2,890",480,"78,383",0
